ID,Bathrooms,Bedrooms,Size/Area,Type,price_in_millions,area,area2
1,4,5,300.0,House,79,DHA Defence,DHA Phase 6
2,3,3,150.0,House,19,Bahria Town Karachi,Bahria Town - Precinct 11-A
3,3,3,200.0,House,23,Bahria Town Karachi,Bahria Town - Precinct 10-A
4,6,6,500.0,House,130,DHA Defence,DHA Phase 5
5,3,3,75.0,House,10,Bahria Town Karachi,Bahria Greens
6,2,2,94.0,Flat,7,Bahria Town Karachi,Bahria Town Karachi
7,3,4,267.0,Flat,38,Rashid Minhas Road,Lakhani Presidency
8,4,5,500.0,House,81,DHA Defence,DHA Phase 5
9,5,6,500.0,House,105,DHA Defence,DHA Phase 6
10,3,3,200.0,Lower Portion,16,North Nazimabad,North Nazimabad - Block J
11,3,3,233.0,Flat,65,DHA Defence,Emaar Crescent Bay
12,6,6,300.0,House,78,DHA Defence,DHA Phase 4
13,6,5,120.0,House,21,Shah Faisal Town,Shah Faisal Town
14,4,4,100.0,House,16,Malir,Model Colony - Malir
15,2,3,100.0,House,13,Malir,Model Colony - Malir
16,4,5,135.0,House,20,Malir,Model Colony - Malir
17,4,5,120.0,House,24,Malir,Model Colony - Malir
18,3,3,183.0,Flat,14,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 10
19,7,8,240.0,House,38,Malir,Model Colony - Malir
20,2,2,106.0,Flat,9,Bahria Town Karachi,Bahria Town - Precinct 19
21,3,3,250.0,Flat,20,Bahria Town Karachi,Bahria Town - Precinct 19
22,4,4,328.0,Flat,25,Bahria Town Karachi,Bahria Town - Precinct 19
23,2,2,106.0,Flat,9,Bahria Town Karachi,Bahria Town - Precinct 19
24,2,2,120.0,Flat,11,Bahria Town Karachi,Bahria Heights
25,5,6,467.0,Flat,75,Navy Housing Scheme Karsaz,Navy Housing Scheme Karsaz
26,5,7,375.0,House,62,Cantt,Askari 5 - Sector J
27,2,2,83.0,Flat,4,Gadap Town,Al-Jadeed Residency
29,3,3,200.0,House,21,Bahria Town Karachi,Bahria Town - Precinct 10-A
30,7,9,600.0,House,115,DHA Defence,DHA Phase 6
31,2,2,106.0,Flat,14,DHA Defence,Rahat Commercial Area
32,5,5,522.0,House,45,Bahria Town Karachi,Bahria Paradise
33,6,7,600.0,House,110,DHA Defence,DHA Phase 6
34,4,5,500.0,House,90,DHA Defence,DHA Phase 5
35,2,2,100.0,Flat,6,North Nazimabad,North Nazimabad - Block K
36,4,4,100.0,House,38,DHA Defence,DHA Phase 7
37,3,3,125.0,House,16,Bahria Town Karachi,Bahria Town - Ali Block
38,7,7,210.0,House,21,Malir,Model Colony - Malir
39,7,7,200.0,House,38,Malir,Model Colony - Malir
40,3,3,152.0,House,16,Bahria Town Karachi,Bahria Town - Precinct 11-B
42,3,3,125.0,House,16,Bahria Town Karachi,Bahria Town - Ali Block
43,5,6,467.0,Flat,95,Navy Housing Scheme Karsaz,Navy Housing Scheme Karsaz
44,6,6,120.0,House,22,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 16-A
45,3,4,233.0,Flat,41,KDA Scheme 1,KDA Scheme 1
46,4,5,300.0,Flat,46,Gulistan-e-Jauhar,Askari 4
47,6,7,400.0,House,65,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 20
48,2,2,120.0,Flat,9,Bahria Town Karachi,Bahria Heights
49,3,3,235.0,House,24,Bahria Town Karachi,Bahria Town - Precinct 31
50,7,8,240.0,House,38,Gulshan-e-Iqbal Town,Gulshan-e-Jamal
51,3,3,75.0,House,10,Bahria Town Karachi,Bahria Greens
